Semana,Cortes,Temp,Hum
2020-12-06,17,"20,73571429","62,53285714"
2020-12-13,23,"24,49","49,37"
2020-12-20,22,"23,69","51,56"
2020-12-27,37,"27,92857143","48,91"
2021-01-03,27,"27,34142857","39,74571429"
2021-01-10,24,"26,55","50,44"
2021-01-17,22,"23,35142857","59,43857143"
2021-01-24,33,"28,30428571","55,11142857"
2021-01-31,25,"24,16285714","75,75571429"
2021-02-07,24,"23,13428571","63,81857143"
2021-02-14,11,"23,83285714","68,50428571"
2021-02-21,22,"24,64714286","52,21"
2021-02-28,29,"27,06714286","48,92857143"
2021-03-07,20,"26,04142857","57,54571429"
2021-03-14,22,26,"51,57428571"
2021-03-21,17,"19,01428571","74,94285714"
2021-03-28,14,"19,89714286","80,69714286"
2021-04-04,22,"20,13571429","75,24428571"
2021-04-11,16,"21,18142857","80,13142857"
2021-04-18,13,"19,81571429","81,02285714"
2021-04-25,16,"17,92285714","80,86571429"
2021-05-02,21,"17,15857143","80,47857143"
2021-05-09,16,"11,83142857","71,24285714"
2021-05-16,22,"11,58285714","70,71857143"
2021-05-23,17,"12,14571429","84,25714286"
2021-05-30,20,"11,49714286","77,97142857"
2021-06-06,15,"13,39571429","82,00714286"
2021-06-13,13,"13,39714286","81,04285714"
2021-06-20,25,"7,677142857","79,36285714"
2021-06-27,29,"9,835714286","78,79714286"
2021-07-04,24,"7,387142857","76,73857143"
2021-07-11,21,"14,26428571","77,78857143"
2021-07-18,16,"8,595714286","77,39285714"
2021-07-25,16,"11,63714286","77,14142857"
2021-08-01,20,"7,404285714","67,12"
2021-08-08,22,"11,66571429","79,08142857"
2021-08-15,15,"9,715714286","71,83571429"
2021-08-22,20,"14,04571429","70,92857143"
2021-08-29,19,"13,84571429","62,02714286"
2021-09-05,18,"17,23714286","81,49714286"
2021-09-12,15,"15,47","78,17428571"
2021-09-19,17,"16,01428571","65,66"
2021-09-26,23,"16,29","68,09857143"
2021-10-03,24,"16,37857143","64,36571429"
2021-10-10,23,"16,35714286","61,84571429"
2021-10-17,20,"17,02857143","63,66571429"
2021-10-24,25,"20,89285714","55,51285714"
2021-10-31,25,"25,66714286","54,76857143"
2021-11-07,29,"21,09857143","62,07857143"
2021-11-14,21,"23,08571429","55,66"
2021-11-21,21,"23,19571429","46,51571429"
2021-11-28,30,"23,83285714","54,14"
2021-12-05,23,"23,93857143",56
2021-12-12,28,"25,37428571","55,27857143"
2021-12-19,42,"26,38714286","55,97142857"
